DrugName,ActiveIngredient,PageNumber,Category
Lepigin 100,Clozapin,455,Thuốc an thần kinh không điển hình/thuốc chống loạn
Lepigin 25,Clozapin,455,Thuốc an thần kinh không điển hình/thuốc chống loạn
Leponex,Clozapin,455,Thuốc an thần kinh không điển hình/thuốc chống loạn
Lequinic,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Lercanidipine,Lercanidipin,884,Thuốc chẹn kênh calci
Lercanidipine meyer,Lercanidipin,884,Thuốc chẹn kênh calci
Lergitec tablet,Cetirizin hydroclorid,381,Kháng histamin; đối kháng thụ thể h
Lerivu,Cefotaxim,357,Kháng sinh cephalosporin thế hệ 3
Lerphat,Fexofenadin hydroclorid,657,"Kháng histamin thế hệ 2, đối kháng thụ thể h"
Lessenol,Paracetamol,1118,Giảm đau; hạ sốt
Lessenol 325,Paracetamol,1118,Giảm đau; hạ sốt
Lesulpin,Sulpirid,1314,Thuốc chống loạn thần
Letram,Levetiracetam,887,Thuốc điều trị động kinh
Letristan 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Letristan 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Letrozole,Letrozol,885,Thuốc chẹn kênh calci
Letspo,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin"
Leucostim,Filgrastim,659,Yếu tố kích thích tăng trưởng bạch cầu
Leukokine,Filgrastim,659,Yếu tố kích thích tăng trưởng bạch cầu
Levagim,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levatam,Levetiracetam,887,Thuốc điều trị động kinh
Levazid,Gliclazid,729,"Thuốc chống đái tháo đường, dẫn chất sulfonylurê"
Levecetam,Levetiracetam,887,Thuốc điều trị động kinh
Levepsy-250,Levetiracetam,887,Thuốc điều trị động kinh
Levepsy-500,Levetiracetam,887,Thuốc điều trị động kinh
Levetral,Levetiracetam,887,Thuốc điều trị động kinh
Levibact-250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levin Tablets 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levin tablets 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levioloxe,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Leviron,Piracetam,1159,Thuốc trị giun
Levisdon,Risperidon,1249,Thuốc chống loạn thần
Levobac,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levobact,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levocef 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levocef 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
HMG,CoA Reductase,285,"Chống co thắt, kháng muscarinic"
Levocide 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levocide-250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levocil,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levocil IV,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levoday 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levoeye Eye drops,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levof,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levofast Inj.,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levofexin,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levoflex,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levoflomarksans,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levoflox 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levofloxacin 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levofloxacin 250 Glomed,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levofloxacin 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levofloxacin 500 Glomed,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levofloxacin Stada,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levofloxacina Basi,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levofloxacina Farmoz,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levofloxacino G.E.S.,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levofresh Inj.,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levojack-500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levoking,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levoleo 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levoleo 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levolon 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levomepromazine,Levomepromazin,893,"Thuốc chống loạn thần, giảm đau không gây nghiện,"
Levonia,Levonorgestrel,898,Thuốc tránh thai/thuốc tránh thai khẩn cấp loại
Levonia alpha,Levonorgestrel,898,Thuốc tránh thai/thuốc tránh thai khẩn cấp loại
Levonis-250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levonis-500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levonor,Noradrenalin,1065,Thuốc giống thần kinh giao cảm
Levoquin,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levoquin 250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levoquin 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levostar 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levosum,Levothyroxin,900,Hormon tuyến giáp
Levotamaxe,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levothyrox,Levothyroxin,900,Hormon tuyến giáp
Levothyroxin 50,Levothyroxin,900,Hormon tuyến giáp
Levothyroxin 100,Levothyroxin,900,Hormon tuyến giáp
Levothyroxine,Levothyroxin,900,Hormon tuyến giáp
Levotop,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levotop-250,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levotop-500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Levzal-500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Lexibcure-250,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Lexibcure-500,Cefuroxim,375,Kháng sinh nhóm cephalosporin thế hệ 2
Lexicure,Cefpodoxim proxetil,363,Kháng sinh nhóm cephalosporin thế hệ 3
Lexicure 200,Cefpodoxim proxetil,363,Kháng sinh nhóm cephalosporin thế hệ 3
Leximarksans 250,Cefalexin,334,Kháng sinh nhóm cephalosporin thế hệ 1
Leximarksans 500,Cefalexin,334,Kháng sinh nhóm cephalosporin thế hệ 1
Lexin 250,Cefalexin,334,Kháng sinh nhóm cephalosporin thế hệ 1
Lexin 500,Cefalexin,334,Kháng sinh nhóm cephalosporin thế hệ 1
Lexinmingo 250,Cefalexin,334,Kháng sinh nhóm cephalosporin thế hệ 1
Lexinmingo 500,Cefalexin,334,Kháng sinh nhóm cephalosporin thế hệ 1
Lexyl-OD,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Lezovar,Lansoprazol,879,"Thuốc ức chế tiết acid dịch vị, thuốc ức chế bơm proton"
Libefid,Arginin,205,"Thuốc chống ung thư, thuốc ức chế aromatase"
Libradim,Ceftazidim,368,Kháng sinh nhóm cephalosporin thế hệ 3
Licotam,Imipenem và thuốc ức chế enzym,800,Kháng sinh nhóm beta-lactam
Lidenthyl 200,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lidocain 40,Lidocain,903,"Thuốc tê, thuốc chống loạn nhịp nhóm 1b"
Lidocain hydroclorid,Lidocain,903,"Thuốc tê, thuốc chống loạn nhịp nhóm 1b"
Lidocain Kabi,Lidocain,903,"Thuốc tê, thuốc chống loạn nhịp nhóm 1b"
Lidocaine,Lidocain,903,"Thuốc tê, thuốc chống loạn nhịp nhóm 1b"
Lidocaine Hydrochloride,Lidocain,903,"Thuốc tê, thuốc chống loạn nhịp nhóm 1b"
Lidoinject 40,Lidocain,903,"Thuốc tê, thuốc chống loạn nhịp nhóm 1b"
Lifcin-500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Lifecef 100 DT,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Lifecef 200 DT,Cefixim,351,Kháng sinh cephalosporin thế hệ 3
Lifedroxin Capsule,Cefadroxil,332,Kháng sinh nhóm cephalosporin thế hệ 1
Lifemore,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lifenac,Diclofenac,515,Thuốc chống viêm không steroid
Lifezar,Losartan,927,Chất đối kháng thụ thể at
Lifibrat 200,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lifibrat 300,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Likacin,Amikacin,176,Kháng sinh họ aminoglycosid
Lilonton,Piracetam,1159,Thuốc trị giun
Lilonton F.C.,Piracetam,1159,Thuốc trị giun
Limatex,100 - Lamivudin,876,Thuốc kháng retrovirus và virus
Limdopa,Dopamin,562,Thuốc kích thích thụ thể beta
Limhepa,Heparin,767,Chống đông máu
Limper 1,Glimepirid,731,"Thuốc chống đái tháo đường, dẫn chất sulfonylurê"
Limper 2,Glimepirid,731,"Thuốc chống đái tháo đường, dẫn chất sulfonylurê"
Limpet-2,Glimepirid,731,"Thuốc chống đái tháo đường, dẫn chất sulfonylurê"
Lincar B,Lincomycin hydroclorid,905,Kháng sinh nhóm lincosamid
Lincincef,Lamivudin,876,Thuốc kháng retrovirus và virus
Lincodazin,Lincomycin hydroclorid,905,Kháng sinh nhóm lincosamid
Lincoharbin,Lincomycin hydroclorid,905,Kháng sinh nhóm lincosamid
Lincoinject 600,Lincomycin hydroclorid,905,Kháng sinh nhóm lincosamid
Lincolife,Lincomycin hydroclorid,905,Kháng sinh nhóm lincosamid
Lincomycin 500,Lincomycin hydroclorid,905,Kháng sinh nhóm lincosamid
Lincomycin capsules BP,Lincomycin hydroclorid,905,Kháng sinh nhóm lincosamid
Lincopi Inj,Lincomycin hydroclorid,905,Kháng sinh nhóm lincosamid
Lincostad 500,Lincomycin hydroclorid,905,Kháng sinh nhóm lincosamid
Lindacap,Clindamycin,407,Kháng sinh họ lincosamid
Lindane,Lindan,906,"Thuốc diệt ký sinh trùng, thuốc điều trị ngoài da,"
Linmycine,Lincomycin hydroclorid,905,Kháng sinh nhóm lincosamid
Linmycine 500,Lincomycin hydroclorid,905,Kháng sinh nhóm lincosamid
Linorip,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin
Lionel,Arginin,205,"Thuốc chống ung thư, thuốc ức chế aromatase"
Liothyronine,Liothyronin,908,Hormon tuyến giáp
Lipagim 160,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lipagim 200,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lipagim 300,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lipanthyl,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lipanthyl 200M,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lipanthyl Supra,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lipanthyl Supra NT,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lipdin 100,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lipdin 200,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lipenthyl 100,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lipewin,Losartan,927,Chất đối kháng thụ thể at
Lipewin 100,Losartan,927,Chất đối kháng thụ thể at
Lipicard,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lipicard-160,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lipidcare,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lipidcare 100,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lipiden Caps.,Gemfibrozil,718,Thuốc chống tăng lipid huyết
Lipirate,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lipirate 160,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lipirate 300,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Liplatin 100,Oxaliplatin,1092,"Thuốc chống ung thư, dẫn chất platin"
Liplatin 50,Oxaliplatin,1092,"Thuốc chống ung thư, dẫn chất platin"
Lipofor 600,Gemfibrozil,718,Thuốc chống tăng lipid huyết
Liprilex,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin
Liquid paraffin,Parafin lỏng,1121,"Nhuận tràng, thuốc bôi ngoài da"
Lirnac,Perindopril,1131,Ức chế enzym chuyển đổi angiotensin
Lironem,Meropenem,950,"Kháng sinh nhóm carbapenem, họ beta-lactam"
Lisace,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Lisanolona,Triamcinolon,1407,Glucocorticoid
Lisinopril 1A,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin
Lisinopril Antibiotice,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin
Lisinopril stada,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin
Lisoflox,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Lisopress,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin
Lisoril-5,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin
Listril 10,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin
Listril 5,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin
Litapitam Granules,Piracetam,1159,Thuốc trị giun
Lithium carbonate,Lithi carbonat,912,Thuốc điều chỉnh khí sắc
Lipanthyl Supra NT,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lipdin 100,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lipdin 200,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lipenthyl 100,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lipewin,Losartan,927,Chất đối kháng thụ thể at
Lipewin 100,Losartan,927,Chất đối kháng thụ thể at
Lipicard,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lipicard-160,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lipidcare,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lipidcare 100,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lipiden Caps.,Gemfibrozil,718,Thuốc chống tăng lipid huyết
Lipirate,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lipirate 160,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Lipirate 300,Fenofibrat,652,Thuốc hạ lipid máu (nhóm fibrat)
Liplatin 100,Oxaliplatin,1092,"Thuốc chống ung thư, dẫn chất platin"
Liplatin 50,Oxaliplatin,1092,"Thuốc chống ung thư, dẫn chất platin"
Lipofor 600,Gemfibrozil,718,Thuốc chống tăng lipid huyết
Liprilex,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin
Liquid paraffin,Parafin lỏng,1121,"Nhuận tràng, thuốc bôi ngoài da"
Lirnac,Perindopril,1131,Ức chế enzym chuyển đổi angiotensin
Lironem,Meropenem,950,"Kháng sinh nhóm carbapenem, họ beta-lactam"
Lisace,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Lisanolona,Triamcinolon,1407,Glucocorticoid
Lisinopril 1A,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin
Lisinopril Antibiotice,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin
Lisinopril stada,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin
Lisoflox,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Lisopress,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin
Lisoril-5,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin
Listril 10,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin
Listril 5,Lisinopril,910,Thuốc ức chế enzym chuyển angiotensin
Litapitam Granules,Piracetam,1159,Thuốc trị giun
Lithium carbonate,Lithi carbonat,912,Thuốc điều chỉnh khí sắc
Liveraid,Ribavirin,1240,Thuốc kháng virus
Liverese,Arginin,205,"Thuốc chống ung thư, thuốc ức chế aromatase"
Livervudin,Lamivudin,876,Thuốc kháng retrovirus và virus
Livoluk,Lactulose,875,Vi khuẩn sinh acid lactic
Livoxee,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Livran-500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Lobitzo,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Lobonxol,Ambroxol,175,Thuốc long đờm
Locacid,Tretinoin (thuốc bôi),1404,Retinoid dùng bôi trị trứng cá
Locimez 20,Omeprazol,1080,"Chống loét dạ dày, tá tràng; ức chế bơm proton"
Locobile 100,Celecoxib,379,Thuốc chống viêm không steroid ức chế chọn lọc
Locobile 200,Celecoxib,379,Thuốc chống viêm không steroid ức chế chọn lọc
Lodimax,Amlodipin,187,"Chống đau thắt ngực, chống tăng huyết áp, chất đối"
Lodipine-C,Amlodipin,187,"Chống đau thắt ngực, chống tăng huyết áp, chất đối"
Lodium,Loperamid,918,Thuốc trị ỉa chảy
Lodnets 500,Levofloxacin,890,Kháng sinh nhóm quinolon (phân nhóm fluoroquinolon)
Lodovax,Clopidogrel,425,Thuốc ức chế kết tập tiểu cầu
Lofin 15,Pioglitazon,1151,Thuốc chống đái tháo đường nhóm thiazolidindion
Lofin 30,Pioglitazon,1151,Thuốc chống đái tháo đường nhóm thiazolidindion
Lofnac 100,Diclofenac,515,Thuốc chống viêm không steroid
Lofrinex,Timolol (thuốc nhỏ mắt),1382,"Thuốc chống glôcôm, chống tăng nhãn áp, chẹn beta"
Logmaz- NIC,Omeprazol,1080,"Chống loét dạ dày, tá tràng; ức chế bơm proton"
Loguar,Glimepirid,731,"Thuốc chống đái tháo đường, dẫn chất sulfonylurê"
Lohatidin,Loratadin,923,"Thuốc kháng histamin, đối kháng thụ thể h"
Lokcomin,Losartan,927,Chất đối kháng thụ thể at
Lolergy,Loratadin,923,"Thuốc kháng histamin, đối kháng thụ thể h"
Lomac 20,Omeprazol,1080,"Chống loét dạ dày, tá tràng; ức chế bơm proton"
Lomac IV,Omeprazol,1080,"Chống loét dạ dày, tá tràng; ức chế bơm proton"
Lomatel,Loratadin,923,"Thuốc kháng histamin, đối kháng thụ thể h"
Lomedium,Loperamid,918,Thuốc trị ỉa chảy
Lomekan,Loperamid,918,Thuốc trị ỉa chảy
Lomifin,Terbinafin hydroclorid,1340,"Thuốc chống nấm, dẫn chất allylamin"
Lomindus,Omeprazol,1080,"Chống loét dạ dày, tá tràng; ức chế bơm proton"
Lomustine,Lomustin,916,"Chống ung thư, tác nhân alkyl hóa"
Londu 100,Albendazol,150,Thuốc trị giun sán
Londu 200,Albendazol,150,Thuốc trị giun sán
Londu 200mg tab.,Albendazol,150,Thuốc trị giun sán
Longtime,Lidocain,903,"Thuốc tê, thuốc chống loạn nhịp nhóm 1b"
Lo-Niac,Omeprazol,1080,"Chống loét dạ dày, tá tràng; ức chế bơm proton"
Lonlor,Loratadin,923,"Thuốc kháng histamin, đối kháng thụ thể h"
Lopefort,Loratadin,923,"Thuốc kháng histamin, đối kháng thụ thể h"
Lopegoric,Loperamid,918,Thuốc trị ỉa chảy
Loperaglobe,Loperamid,918,Thuốc trị ỉa chảy
Loperamark 2,Loperamid,918,Thuốc trị ỉa chảy
Loperamid,BVP - Loperamid,918,Thuốc trị ỉa chảy
Loperamid Stada,Loperamid,918,Thuốc trị ỉa chảy
Loperamide,Loperamid,918,Thuốc trị ỉa chảy
Loperamide Hexal,Loperamid,918,Thuốc trị ỉa chảy
Loperamide Hydrochloride,Loperamid,918,Thuốc trị ỉa chảy
LoperamidSPM,Loperamid,918,Thuốc trị ỉa chảy
Lopetab,Loperamid,918,Thuốc trị ỉa chảy
Lopid,Gemfibrozil,718,Thuốc chống tăng lipid huyết
Lopigim 300,Gemfibrozil,718,Thuốc chống tăng lipid huyết
Lopigim 600,Gemfibrozil,718,Thuốc chống tăng lipid huyết
Lopinavir and ritonavir,Lopinavir và ritonavir,919,Thuốc trị ỉa chảy
Lopioz,Omeprazol,1080,"Chống loét dạ dày, tá tràng; ức chế bơm proton"
Lopytix,Loperamid,918,Thuốc trị ỉa chảy
Lorad,Loratadin,923,"Thuốc kháng histamin, đối kháng thụ thể h"
Loradityl,Loratadin,923,"Thuốc kháng histamin, đối kháng thụ thể h"
Lorafar,Loratadin,923,"Thuốc kháng histamin, đối kháng thụ thể h"
Lorafast,Loratadin,923,"Thuốc kháng histamin, đối kháng thụ thể h"
